time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-07T05:49:56.451Z,-24.1135,-67.112,187.553,4.6,mb,42,56,2.485,1,us,us6000nx0r,2024-10-07T06:21:37.040Z,"81 km W of San Antonio de los Cobres, Argentina",earthquake,9.13,6.956,0.09,37,reviewed,us,us
2024-10-07T05:49:30.168Z,69.329,-144.6508,0,3.2,ml,,,,0.51,ak,ak024cwta957,2024-10-08T06:30:40.040Z,"97 km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-10-07T05:45:57.802Z,63.0171,-150.5907,111.3,2.6,ml,,,,0.48,ak,ak024cwt9ggv,2024-10-07T05:48:06.778Z,"58 km N of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-07T05:35:06.102Z,-24.1429,-67.0647,166.805,4.9,mww,80,55,2.512,1.1,us,us6000nx0l,2024-10-07T05:56:05.040Z,"76 km W of San Antonio de los Cobres, Argentina",earthquake,8.2,6.842,0.08,15,reviewed,us,us
2024-10-07T05:01:56.095Z,25.3194,142.6784,10,4.9,mb,46,117,1.824,0.82,us,us6000nx0h,2024-10-07T06:50:21.040Z,"Volcano Islands, Japan region",earthquake,8.42,1.556,0.094,36,reviewed,us,us
2024-10-07T04:38:15.411Z,12.3446,-86.8019,180.913,4.4,mb,31,146,0.575,0.76,us,us6000nx0g,2024-10-08T00:28:06.040Z,"13 km SE of León, Nicaragua",earthquake,8.94,2.782,0.179,9,reviewed,us,us
2024-10-07T04:35:36.036Z,69.232,-144.1477,0,2.8,ml,,,,1.17,ak,ak024cwslu0z,2024-10-08T00:02:49.040Z,"102 km S of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-07T04:30:34.770Z,19.6491666666667,-156.218333333333,14.24,2.52,ml,19,262,0.3623,0.18,hv,hv74490787,2024-10-07T23:44:34.040Z,"23 km W of Kailua-Kona, Hawaii",earthquake,1.16,31.61,0.206608284161821,7,reviewed,hv,hv
2024-10-07T04:28:12.142Z,40.2319,-119.6872,9,2.5,ml,18,67.41,0.071,0.1492,nn,nn00885655,2024-10-07T23:34:42.040Z,"32 km NNW of Sutcliffe, Nevada",earthquake,,1.3,0.32,9,reviewed,nn,nn
2024-10-07T04:10:23.947Z,69.1837,-144.7153,0.1,2.9,ml,,,,0.51,ak,ak024cwsgg6y,2024-10-07T23:22:30.040Z,"113 km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-10-07T03:45:49.356Z,51.8856,176.4087,129.388,3.5,ml,18,338,1.304,0.2,us,us6000nx3t,2024-10-07T23:15:25.040Z,"244 km ESE of Attu Station, Alaska",earthquake,14.03,15.639,,,reviewed,us,ak
2024-10-07T02:24:16.648Z,-3.7278,151.4494,10,4.6,mb,17,104,0.848,0.57,us,us6000nx0y,2024-10-07T23:07:28.040Z,"94 km WNW of Rabaul, Papua New Guinea",earthquake,7.69,1.9,0.141,15,reviewed,us,us
2024-10-07T01:11:05.810Z,18.8386669158936,-155.236663818359,10.1000003814697,2.5999999,md,24,269,0.3805,0.150000006,hv,hv74490637,2024-10-07T22:48:48.040Z,"44 km SE of Naalehu, Hawaii",earthquake,0.92,0.860000014,0.25,6,automatic,hv,hv
2024-10-07T01:00:10.073Z,6.825,125.8025,33.36,4.6,mb,20,118,0.329,0.82,us,us6000nwzw,2024-10-07T22:39:54.040Z,"11 km SSE of San Remigio, Philippines",earthquake,13.56,4.567,0.132,17,reviewed,us,us
2024-10-07T00:33:16.194Z,-33.5384,-178.01,10,5,mb,35,130,4.264,1.24,us,us6000nwzm,2024-10-07T00:56:18.040Z,"south of the Kermadec Islands",earthquake,11.06,1.89,0.103,30,reviewed,us,us
2024-10-07T00:32:55.379Z,-7.0603,103.259,10,4.2,mb,15,161,2.699,0.56,us,us6000nwzt,2024-10-07T01:03:28.040Z,"285 km SW of Bandar Lampung, Indonesia",earthquake,8.48,1.913,0.199,7,reviewed,us,us
2024-10-07T00:15:40.030Z,37.4831657409668,-118.845664978027,3.25,2.51,md,22,114,0.1075,0.03,nc,nc75071456,2024-10-07T04:13:49.156Z,"17 km WSW of Toms Place, CA",earthquake,0.47,1.23000002,0.22,31,automatic,nc,nc
2024-10-06T23:36:30.556Z,69.3768,-144.6177,7.2,3,ml,,,,0.7,ak,ak024cvgdxbq,2024-10-06T23:39:57.313Z,"92 km SSW of Kaktovik, Alaska",earthquake,,1.5,,,automatic,ak,ak
2024-10-06T22:57:19.894Z,58.6251,-156.1826,199.9,2.6,ml,,,,0.54,ak,ak024cvfwyzp,2024-10-06T23:11:08.040Z,"28 km ESE of King Salmon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-10-06T22:53:36.433Z,-6.3909,128.382,362.143,4.5,mb,22,74,2.396,0.62,us,us6000nwyt,2024-10-06T23:05:54.040Z,"280 km NNE of Lospalos, Timor Leste",earthquake,10.57,8.002,0.131,17,reviewed,us,us
2024-10-06T22:30:14.110Z,18.5143333333333,-66.3436666666667,44.17,3.06,md,23,189,0.1802,0.19,pr,pr71461953,2024-10-06T23:12:49.040Z,"5 km N of Brenas, Puerto Rico",earthquake,0.52,0.74,0.119539973857569,12,reviewed,pr,pr
